aX,aY,aZ,gX,gY,gZ
0.189,0.594,0.731,3.906,-0.488,0.305
0.158,0.596,0.691,3.601,-0.610,0.244
0.022,0.516,0.859,3.052,0.122,0.244
0.220,0.612,0.704,2.625,0.732,0.183
0.134,0.589,0.715,3.113,0.000,0.183
0.042,0.530,0.854,3.540,-0.488,-0.122
0.236,0.629,0.679,4.150,-0.916,-0.244
0.097,0.576,0.744,5.005,-1.770,-0.488
0.064,0.535,0.844,4.883,-1.221,-0.488
0.243,0.632,0.666,4.517,-0.854,-0.244
0.069,0.556,0.781,3.967,-0.671,0.122
0.097,0.545,0.826,3.357,0.244,0.427
0.244,0.636,0.657,2.869,0.549,0.305
0.053,0.545,0.808,3.479,-0.427,0.122
0.130,0.568,0.797,4.089,-0.671,0.000
0.226,0.636,0.651,4.700,-1.404,0.061
0.026,0.534,0.828,4.883,-1.465,0.183
0.157,0.582,0.767,4.639,-0.549,0.427
0.203,0.623,0.663,4.639,-0.488,0.671
0.026,0.522,0.853,4.578,-0.427,0.610
0.197,0.594,0.745,4.517,-0.305,0.671
0.180,0.607,0.688,4.761,-1.343,0.732
0.025,0.520,0.866,4.700,-1.709,0.488
0.212,0.605,0.718,4.456,-1.343,0.549
0.140,0.591,0.716,4.395,-1.648,0.610
0.074,0.546,0.816,3.967,-1.099,0.427
0.157,0.584,0.756,3.784,-0.916,0.366
0.142,0.585,0.749,4.028,-1.038,0.305
0.124,0.572,0.771,4.150,-1.282,0.671
0.133,0.576,0.763,4.150,-1.709,0.671
0.127,0.576,0.758,4.395,-1.709,0.610
0.122,0.572,0.761,4.333,-1.343,0.610
0.127,0.575,0.757,4.028,-0.916,0.610
0.127,0.574,0.755,3.845,-0.793,0.183
0.129,0.574,0.755,4.089,-0.549,0.061
0.134,0.576,0.754,4.333,-0.854,-0.122
0.136,0.576,0.755,4.639,-1.282,-0.305
0.135,0.577,0.755,5.249,-1.892,-0.122
0.131,0.578,0.756,5.493,-2.258,0.183
0.130,0.574,0.757,5.432,-2.136,0.549
0.128,0.575,0.759,5.005,-1.770,0.549
0.128,0.579,0.760,4.700,-1.526,0.732
0.127,0.579,0.761,4.395,-1.404,0.732
0.130,0.579,0.764,4.700,-1.465,0.671
0.131,0.578,0.766,5.066,-1.526,0.671
0.134,0.574,0.769,5.188,-1.343,0.610
0.135,0.573,0.771,5.127,-1.221,0.671
0.137,0.573,0.772,4.700,-0.977,0.854
0.134,0.573,0.772,4.578,-0.977,0.854
0.134,0.570,0.773,4.333,-1.038,0.854
0.130,0.572,0.771,4.150,-1.221,0.671
0.126,0.575,0.767,4.089,-1.526,0.488
0.123,0.574,0.764,4.211,-1.465,0.305
0.124,0.574,0.763,4.028,-1.160,0.427
0.125,0.573,0.764,3.723,-0.671,0.549
0.125,0.572,0.760,3.418,-0.427,0.671
0.125,0.572,0.759,3.418,-0.427,0.793
0.126,0.571,0.759,3.662,-0.549,0.549
0.128,0.568,0.757,4.089,-0.916,0.427
0.126,0.567,0.757,4.333,-1.282,0.000
0.124,0.569,0.756,4.333,-1.343,-0.122
0.126,0.571,0.755,3.784,-1.343,-0.244
0.124,0.573,0.754,3.418,-1.099,-0.061
0.122,0.578,0.752,3.113,-0.732,0.000
0.123,0.576,0.750,3.052,-0.427,0.061
0.126,0.576,0.751,3.601,-0.061,0.061
0.129,0.578,0.751,3.906,0.183,-0.061
0.131,0.577,0.752,4.456,0.244,-0.366
0.182,0.608,0.692,4.944,-0.061,-0.427
0.070,0.547,0.793,5.249,-0.610,-0.183
0.120,0.563,0.799,5.249,-0.305,-0.122
0.223,0.626,0.656,5.005,-0.366,-0.183
0.015,0.518,0.852,5.005,-0.427,-0.061
0.191,0.592,0.740,4.700,0.427,0.122
0.179,0.603,0.688,4.700,0.366,0.366
0.030,0.518,0.867,4.883,0.366,0.183
0.220,0.608,0.723,5.371,0.305,0.061
0.150,0.588,0.721,6.287,-1.038,0.122
0.040,0.514,0.877,6.653,-1.465,0.000
0.234,0.606,0.710,6.470,-1.404,0.000
0.115,0.562,0.765,6.104,-1.892,-0.061
0.063,0.513,0.881,4.883,-1.099,0.061
0.250,0.615,0.701,3.479,-0.793,0.061
0.089,0.554,0.794,2.747,-1.160,0.000
0.093,0.542,0.854,2.075,-0.977,-0.305
0.244,0.636,0.677,1.953,-1.465,-0.427
0.091,0.577,0.771,2.197,-2.136,-0.366
0.119,0.578,0.789,2.380,-1.709,0.000
0.155,0.600,0.742,2.686,-1.709,0.366
0.132,0.593,0.747,3.357,-1.587,0.732
0.127,0.585,0.752,3.662,-1.465,1.282
0.132,0.583,0.742,4.028,-1.282,1.465
0.125,0.578,0.740,4.150,-1.099,1.648
0.123,0.573,0.736,4.456,-0.977,1.587
0.122,0.568,0.734,4.761,-0.793,1.404
0.120,0.564,0.734,5.127,-0.305,1.038
0.122,0.562,0.735,5.371,0.000,0.549
0.122,0.564,0.739,5.676,0.549,0.244
0.125,0.565,0.743,6.104,0.977,0.366
0.128,0.567,0.747,6.348,0.916,0.488
0.128,0.568,0.753,6.714,0.366,0.732
0.132,0.572,0.749,7.202,-0.366,0.610
0.071,0.535,0.813,7.690,-0.793,0.427
0.131,0.559,0.793,7.385,-0.793,0.488
0.193,0.611,0.672,6.897,-0.549,-0.061
