aX,aY,aZ,gX,gY,gZ
-0.214,0.209,1.089,9.521,-2.441,1.709
-0.103,0.253,0.973,10.071,-3.723,0.549
-0.142,0.261,0.930,9.460,-4.395,-0.549
-0.211,0.192,1.105,7.019,-4.333,-1.282
-0.081,0.268,0.931,4.517,-3.540,-1.648
-0.146,0.268,0.923,2.502,-3.601,-1.892
-0.184,0.216,1.058,1.953,-4.089,-2.014
-0.066,0.295,0.859,2.075,-4.089,-1.953
-0.160,0.262,0.915,2.014,-4.028,-1.648
-0.165,0.222,1.011,1.465,-3.357,-1.099
-0.065,0.307,0.809,1.038,-2.380,-0.793
-0.177,0.250,0.919,1.038,-1.953,-0.366
-0.142,0.235,0.966,1.221,-1.221,-0.122
-0.067,0.317,0.777,1.770,-1.221,-0.061
-0.188,0.244,0.935,2.869,-1.587,-0.183
-0.121,0.252,0.934,3.967,-1.221,0.061
-0.080,0.313,0.781,5.005,-1.038,0.366
-0.202,0.227,0.973,5.981,-0.671,0.732
-0.109,0.259,0.925,6.409,0.488,1.038
-0.103,0.297,0.823,6.714,1.099,1.404
-0.207,0.213,1.032,7.019,1.404,1.648
-0.098,0.263,0.931,6.714,1.587,1.770
-0.130,0.280,0.878,6.836,1.038,1.404
-0.210,0.201,1.074,6.470,0.732,0.916
-0.089,0.266,0.928,5.798,0.549,0.427
-0.147,0.262,0.920,5.066,-0.244,0.122
-0.194,0.196,1.083,4.150,-0.366,-0.366
-0.073,0.275,0.901,3.174,-0.793,-0.793
-0.157,0.251,0.941,2.502,-1.343,-1.221
-0.170,0.208,1.056,1.892,-1.526,-1.526
-0.063,0.299,0.854,1.709,-1.770,-1.831
-0.170,0.255,0.945,1.953,-2.197,-1.709
-0.148,0.232,1.013,1.892,-2.197,-1.343
-0.065,0.314,0.816,1.770,-2.258,-0.732
-0.187,0.245,0.955,2.258,-2.197,-0.244
-0.129,0.243,0.974,2.625,-1.221,0.000
-0.074,0.311,0.806,3.357,-1.160,0.244
-0.196,0.231,0.986,4.089,-1.587,0.366
-0.115,0.254,0.949,4.272,-1.526,0.305
-0.100,0.302,0.816,4.639,-1.953,0.244
-0.213,0.217,1.011,4.395,-1.892,0.183
-0.102,0.262,0.917,3.662,-1.099,0.000
-0.112,0.295,0.831,3.174,-0.427,-0.244
-0.198,0.219,1.025,3.052,0.305,0.000
-0.076,0.280,0.891,3.418,0.793,0.366
-0.122,0.284,0.865,4.395,0.366,0.549
-0.188,0.212,1.046,5.005,0.000,0.671
-0.067,0.283,0.883,5.310,-0.183,0.610
-0.148,0.266,0.913,5.493,-0.671,0.549
-0.180,0.208,1.057,5.127,-0.488,0.793
-0.070,0.290,0.868,4.211,-0.183,0.854
-0.173,0.250,0.947,3.479,-0.366,0.977
-0.161,0.216,1.042,2.625,0.000,0.854
-0.064,0.300,0.848,2.502,-0.244,0.610
-0.183,0.238,0.975,2.441,-1.038,0.488
-0.141,0.228,1.011,2.502,-1.099,0.488
-0.076,0.303,0.829,2.380,-1.343,0.366
-0.200,0.226,0.994,2.686,-1.709,0.244
-0.125,0.243,0.970,2.441,-1.343,0.122
-0.093,0.300,0.819,2.380,-1.404,0.183
-0.210,0.218,1.005,2.380,-1.404,0.244
-0.108,0.257,0.928,2.319,-1.099,0.183
-0.109,0.291,0.821,2.502,-1.221,0.183
-0.208,0.213,1.015,2.869,-1.160,0.061
-0.089,0.270,0.894,3.174,-0.549,0.122
-0.124,0.286,0.846,3.662,-0.732,0.061
-0.196,0.213,1.033,4.089,-0.549,0.183
-0.075,0.284,0.876,4.150,-0.366,0.305
-0.142,0.275,0.883,4.150,-0.488,0.305
-0.180,0.216,1.042,4.211,-0.305,0.183
-0.062,0.296,0.863,4.211,-0.122,0.183
-0.155,0.266,0.926,4.333,-0.610,0.305
-0.161,0.223,1.041,4.333,-0.793,0.305
-0.064,0.306,0.848,4.089,-1.221,0.610
-0.179,0.250,0.958,4.272,-1.526,0.732
-0.154,0.228,1.019,4.089,-1.221,0.732
-0.077,0.304,0.833,3.723,-0.977,0.671
-0.198,0.233,0.984,3.601,-1.160,0.732
-0.132,0.237,0.985,3.235,-0.793,0.610
-0.084,0.301,0.823,3.235,-0.732,0.610
-0.202,0.221,1.005,3.479,-0.916,0.732
-0.111,0.250,0.953,3.601,-0.793,0.671
-0.100,0.295,0.829,3.784,-1.343,0.793
-0.208,0.213,1.023,3.845,-1.648,0.305
-0.100,0.262,0.917,3.662,-1.343,0.244
-0.120,0.284,0.844,3.784,-1.160,0.305
-0.201,0.209,1.034,3.723,-0.916,0.183
-0.082,0.275,0.887,3.540,-0.366,0.427
-0.138,0.275,0.871,3.906,-0.549,0.488
-0.189,0.208,1.041,4.211,-0.549,0.366
-0.070,0.286,0.868,4.333,-0.427,0.244
-0.154,0.265,0.910,4.578,-1.038,0.061
-0.176,0.214,1.041,4.395,-1.343,0.061
-0.072,0.298,0.850,4.089,-1.282,0.122
-0.178,0.251,0.943,3.906,-1.526,0.000
-0.159,0.221,1.025,3.235,-0.793,-0.061
-0.069,0.304,0.830,2.747,-0.549,0.122
-0.185,0.238,0.969,2.930,-0.793,0.183
-0.131,0.236,0.996,2.991,-0.549,0.244
-0.074,0.306,0.822,3.357,-0.854,0.305
-0.202,0.228,0.998,3.845,-1.160,0.427
-0.121,0.250,0.966,3.845,-0.793,0.549
-0.095,0.299,0.829,3.906,-1.099,0.549
-0.205,0.217,1.024,3.967,-1.282,0.427
-0.102,0.260,0.936,3.662,-0.671,0.549
-0.111,0.290,0.846,3.601,-0.854,0.427
-0.202,0.210,1.040,3.601,-0.793,0.488
-0.085,0.271,0.906,3.540,-0.732,0.366
-0.131,0.283,0.866,3.540,-1.099,0.122
-0.196,0.213,1.043,3.479,-0.916,0.244
-0.075,0.287,0.872,3.174,-0.793,0.183
-0.150,0.273,0.889,3.235,-0.916,0.183
-0.181,0.213,1.035,3.235,-0.732,0.366
-0.067,0.295,0.844,3.296,-0.854,0.427
-0.166,0.259,0.919,3.784,-1.038,0.366
-0.159,0.221,1.022,3.967,-0.793,0.610
-0.064,0.302,0.832,4.395,-0.793,0.732
-0.185,0.243,0.958,4.639,-1.038,0.977
-0.150,0.228,1.007,4.517,-0.977,1.221
-0.082,0.303,0.828,4.333,-0.916,1.160
-0.203,0.228,0.993,4.395,-0.977,0.732
-0.131,0.240,0.983,4.272,-0.732,0.549
-0.093,0.297,0.831,4.150,-0.916,0.366
-0.206,0.213,1.021,4.089,-1.160,0.305
-0.105,0.249,0.952,3.662,-0.854,0.305
-0.103,0.290,0.841,3.479,-1.038,0.061
-0.207,0.211,1.033,3.235,-1.221,0.122
-0.093,0.266,0.912,2.808,-0.854,0.244
-0.126,0.285,0.849,2.930,-1.099,0.183
-0.201,0.211,1.031,3.174,-1.160,0.122
-0.084,0.279,0.873,3.296,-1.160,0.061
-0.145,0.272,0.870,3.845,-1.282,-0.061
-0.190,0.206,1.031,4.395,-1.099,0.000
-0.074,0.285,0.853,4.395,-0.732,-0.183
-0.164,0.259,0.910,4.761,-0.793,-0.061
-0.173,0.214,1.034,4.700,-0.427,0.000
-0.069,0.301,0.845,4.272,-0.183,-0.061
-0.177,0.251,0.953,4.211,-0.366,-0.183
-0.148,0.230,1.025,3.967,-0.183,-0.183
-0.065,0.311,0.838,3.784,-0.427,-0.122
-0.182,0.243,0.988,4.089,-0.916,-0.183
-0.121,0.244,0.999,3.967,-1.099,0.061
-0.074,0.311,0.834,3.906,-1.282,0.488
-0.198,0.230,1.015,4.089,-1.526,0.732
-0.112,0.255,0.964,3.723,-1.343,1.282
-0.101,0.297,0.833,3.479,-1.526,1.526
-0.210,0.212,1.024,3.601,-1.404,1.526
-0.102,0.258,0.923,3.540,-0.916,1.343
-0.121,0.281,0.842,3.601,-1.038,0.977
-0.209,0.201,1.033,3.784,-1.160,0.854
-0.089,0.263,0.889,3.784,-0.977,0.854
-0.141,0.265,0.865,3.967,-1.221,0.610
-0.199,0.200,1.036,4.028,-0.793,0.366
-0.079,0.277,0.864,3.784,-0.549,0.122
-0.161,0.261,0.900,4.028,-0.916,-0.061
-0.181,0.211,1.037,4.089,-0.549,-0.183
-0.069,0.295,0.848,3.906,-0.549,-0.244
-0.172,0.253,0.938,3.967,-0.854,-0.061
-0.158,0.222,1.029,3.723,-0.427,0.122
-0.066,0.302,0.838,3.723,-0.488,0.305
-0.186,0.240,0.973,3.906,-0.916,0.366
-0.139,0.233,1.005,3.540,-0.549,0.427
-0.077,0.304,0.829,3.418,-0.793,0.488
-0.198,0.225,1.001,3.601,-0.977,0.549
-0.121,0.241,0.974,3.418,-0.916,0.549
-0.096,0.295,0.828,3.296,-1.282,0.549
-0.211,0.212,1.018,3.296,-1.343,0.366
-0.110,0.257,0.934,2.869,-0.916,0.366
-0.117,0.288,0.835,2.869,-0.977,0.305
-0.208,0.209,1.030,2.869,-0.732,0.183
-0.089,0.268,0.899,2.930,-0.427,0.061
-0.127,0.280,0.855,3.357,-0.916,-0.122
-0.194,0.210,1.036,3.662,-0.732,-0.244
-0.077,0.281,0.874,4.089,-0.854,-0.061
-0.151,0.270,0.885,4.639,-1.160,0.183
-0.186,0.211,1.040,4.578,-0.671,0.122
-0.071,0.293,0.856,4.211,-0.366,0.244
-0.167,0.259,0.924,3.967,-0.488,0.183
-0.170,0.217,1.031,3.723,-0.488,0.427
-0.071,0.301,0.836,3.662,-0.549,0.366
-0.184,0.245,0.952,3.845,-0.793,0.000
-0.146,0.227,1.007,4.028,-0.854,-0.305
-0.075,0.305,0.821,4.333,-0.916,-0.244
-0.194,0.232,0.983,4.456,-1.099,-0.183
-0.124,0.240,0.981,4.395,-0.549,0.122
-0.083,0.298,0.827,4.456,-0.549,0.427
-0.199,0.217,1.015,4.578,-0.793,0.610
-0.106,0.252,0.956,4.272,-0.366,0.671
-0.102,0.293,0.841,4.150,-0.671,0.854
-0.204,0.210,1.037,4.150,-1.038,0.854
-0.095,0.262,0.926,4.089,-0.916,0.732
-0.126,0.281,0.859,4.395,-1.282,0.549
-0.205,0.205,1.046,4.272,-1.343,0.122
-0.082,0.269,0.894,3.906,-1.221,-0.122
-0.141,0.268,0.882,3.662,-1.465,-0.061
-0.192,0.205,1.043,3.540,-1.221,-0.061
-0.074,0.282,0.863,3.296,-0.732,0.183
-0.164,0.257,0.908,3.174,-1.099,0.244
-0.178,0.212,1.032,2.930,-0.854,0.000
-0.070,0.297,0.839,2.930,-0.671,-0.183
-0.180,0.248,0.938,3.357,-1.099,-0.122
-0.157,0.221,1.015,3.357,-0.916,0.000
-0.072,0.299,0.827,3.418,-0.610,0.000
-0.191,0.231,0.973,3.723,-0.732,0.122
-0.134,0.231,0.995,3.357,-0.427,0.244
-0.081,0.302,0.824,3.174,-0.183,0.549
-0.204,0.225,1.004,3.174,-0.244,0.549
-0.115,0.250,0.964,3.113,0.122,0.488
-0.095,0.300,0.833,3.235,-0.305,0.427
-0.205,0.219,1.027,3.601,-0.916,0.244
-0.097,0.263,0.934,3.662,-0.854,0.183
-0.113,0.287,0.849,3.906,-1.221,0.183
-0.199,0.207,1.044,3.967,-1.221,0.122
-0.081,0.268,0.906,3.845,-0.977,0.000
-0.131,0.275,0.874,3.723,-1.221,0.183
-0.193,0.206,1.048,3.479,-1.160,0.305
-0.078,0.283,0.874,3.113,-1.160,0.305
-0.157,0.266,0.897,3.357,-1.587,0.244
-0.184,0.210,1.035,3.113,-1.221,0.183
-0.074,0.291,0.843,2.930,-0.916,0.061
